,practica,responsabilidad,gestion,equipo,ingenieria,informacion,industrial,office,excel,diseno,analisis
261,ingenieria,1,1,1,1,0,1,0,1,0,0
262,psicologia,1,1,0,1,0,1,1,0,0,0
263,psicologia,1,1,0,1,0,1,1,0,0,0
264,ingenieria,1,0,1,0,0,0,1,1,0,0
265,ingenieria,1,0,1,0,0,0,1,1,0,0
266,ingenieria,1,0,0,1,1,0,0,0,0,0
267,ingenieria,1,0,0,1,1,0,0,0,0,0
268,economia,1,0,0,0,0,1,0,1,0,0
269,economia,1,0,0,0,0,1,0,1,0,0
270,economia,1,0,0,0,0,1,0,1,0,0
271,ingenieria,1,0,0,0,0,0,1,1,0,0
272,ingenieria,1,0,0,0,0,0,1,1,0,0
273,derecho,1,0,1,0,1,0,0,0,0,0
274,sistemas,1,0,1,1,1,0,1,0,0,0
276,sistemas,1,0,0,0,1,0,1,1,0,1
277,derecho,1,0,0,0,1,0,0,1,0,1
278,ingenieria,1,0,0,1,1,1,0,1,0,0
279,contabilidad,1,0,1,0,0,0,0,0,0,0
280,comunicaciones,1,0,0,0,1,0,0,0,1,0
281,marketing,1,0,0,0,0,0,0,1,0,0
282,diseno,1,0,0,0,0,0,0,1,1,0
283,comercial,1,0,1,0,0,1,1,1,0,0
284,contabilidad,1,0,1,0,0,0,0,0,0,0
285,marketing,1,0,0,0,1,0,0,0,0,1
286,administracion,1,1,0,1,0,1,0,1,1,0
287,ingenieria,1,0,0,1,0,1,0,1,0,0
288,psicologia,1,0,0,0,0,1,1,0,0,0
289,derecho,1,0,0,0,0,0,0,0,0,0
290,ingenieria,1,0,0,0,0,1,0,0,0,0
291,comunicaciones,1,1,0,0,1,1,0,0,0,0
292,comercial,1,1,1,1,0,1,0,1,0,0
294,contabilidad,1,0,1,0,0,0,0,0,0,1
295,administracion,1,1,0,1,0,1,0,1,1,0
296,mantenimiento,1,0,1,0,1,0,0,1,0,0
297,ingenieria,1,0,0,1,1,1,1,0,1,0
298,psicologia,1,1,0,0,0,0,1,0,0,0
299,contabilidad,1,0,0,1,1,1,1,0,0,0
300,arquitectura,1,0,1,0,0,0,0,0,0,0
301,ingenieria,1,0,1,1,1,0,0,1,0,0
302,psicologia,1,1,0,1,0,1,1,0,0,0
303,contabilidad,1,0,1,1,1,1,0,1,0,0
304,contabilidad,1,0,0,0,0,0,1,0,0,0
305,ingenieria,1,1,0,0,0,1,0,0,0,0
306,sistemas,1,0,0,0,1,0,1,1,0,1
307,administracion,1,0,1,1,1,1,0,0,0,0
308,comercial,1,1,0,0,1,1,1,1,0,0
309,ingenieria,1,0,1,1,1,1,1,0,0,0
311,diseno,1,1,0,0,0,0,0,0,1,0
312,contabilidad,1,0,1,0,0,0,0,1,0,1
313,ingenieria,1,0,0,0,0,1,1,0,0,0
314,contabilidad,1,0,0,0,0,0,0,0,0,0
315,mantenimiento,1,0,1,0,0,1,0,0,0,0
316,comercial,1,0,0,0,0,1,0,1,0,1
317,administracion,1,0,0,0,0,0,1,0,0,0
318,sistemas,1,0,1,0,1,0,0,0,0,1
319,ingenieria,1,0,0,0,0,1,0,1,0,0
320,ingenieria,1,0,0,0,0,1,0,1,0,0
321,ingenieria,1,0,0,0,0,1,0,1,0,0
322,finanzas,1,0,1,0,0,0,0,0,0,0
323,sistemas,1,0,1,1,0,0,0,0,0,0
324,diseno,1,1,1,0,1,0,1,0,1,0
325,comunicaciones,1,1,1,0,1,0,1,0,1,0
327,ingenieria,1,0,0,0,0,1,0,1,0,1
328,sistemas,1,0,1,0,0,0,0,0,1,0
329,sistemas,1,0,1,0,0,0,0,0,1,0
330,ingenieria,1,0,0,0,0,0,0,1,0,1
331,ingenieria,1,0,0,0,0,0,0,1,0,1
332,ingenieria,1,0,0,0,0,0,0,1,0,1
333,ingenieria,1,1,0,1,1,0,1,0,0,0
334,ingenieria,1,1,0,1,1,0,1,0,0,0
335,ingenieria,1,1,0,1,1,0,1,0,0,0
336,contabilidad,1,1,1,0,0,0,1,1,0,0
337,contabilidad,1,1,1,0,0,0,1,1,0,0
338,psicologia,1,1,0,0,1,0,0,1,0,0
339,sistemas,1,0,0,0,1,0,0,0,0,0
340,finanzas,1,0,1,0,1,0,0,1,0,1
341,ingenieria,1,1,0,0,0,1,0,0,0,0
342,contabilidad,1,0,1,0,0,0,0,1,0,1
343,finanzas,1,0,0,0,1,0,0,1,0,0
344,derecho,1,0,1,0,0,0,1,0,0,0
345,comunicaciones,1,1,0,0,1,0,1,1,1,0
346,ingenieria,1,0,0,1,1,1,0,0,0,0
347,psicologia,1,1,0,0,1,0,0,1,0,0
348,ingenieria,1,1,0,1,1,1,0,1,0,0
349,ingenieria,1,1,0,0,0,0,1,1,1,0
350,administracion,1,1,1,0,1,0,0,1,0,0
351,ingenieria,1,0,0,1,1,1,0,0,0,0
352,psicologia,1,1,0,0,1,1,0,0,0,0
353,ingenieria,1,0,0,1,1,1,1,0,0,0
354,ingenieria,1,0,0,0,0,1,0,1,0,1
355,psicologia,1,0,1,0,0,0,0,1,0,0
356,psicologia,1,0,1,1,1,1,1,0,0,0
357,contabilidad,1,0,0,0,1,0,1,0,0,1
358,mantenimiento,1,0,1,1,0,1,1,1,0,1
359,marketing,1,0,0,0,0,0,1,1,1,0
360,ingenieria,1,0,0,0,0,1,0,1,0,0
361,ingenieria,1,0,1,1,1,0,0,0,0,0
362,derecho,1,0,0,0,0,1,0,0,0,0
363,sistemas,1,1,1,0,1,0,1,0,0,0
364,ingenieria,1,1,1,1,1,1,1,0,0,1
365,ingenieria,1,0,0,0,0,0,1,0,0,0
366,marketing,1,1,1,1,1,1,0,1,0,1
367,marketing,1,1,1,0,0,0,0,0,0,0
368,sistemas,1,0,0,0,0,0,0,1,1,1
369,contabilidad,1,1,0,1,0,1,1,0,0,1
370,contabilidad,1,1,0,1,0,1,1,0,0,1
371,sistemas,1,0,1,0,0,0,0,0,0,0
372,marketing,1,0,0,0,1,0,0,1,1,0
373,sistemas,1,1,0,0,1,1,1,0,0,0
375,medicina,1,0,0,0,0,0,0,0,0,0
378,finanzas,1,0,0,0,0,0,1,1,0,0
379,ventas,1,0,0,0,1,1,0,0,0,1
380,mantenimiento,1,1,0,0,1,0,0,0,0,0
381,medicina,1,0,0,1,0,1,0,0,0,1
382,comercial,1,0,0,0,0,1,0,0,0,0
383,administracion,1,1,0,0,0,0,1,0,0,0
384,ingenieria,1,1,0,0,0,1,1,0,0,0
385,ingenieria,1,1,0,1,0,0,1,0,0,0
386,ingenieria,1,0,0,0,1,1,0,0,0,0
387,ingenieria,1,0,0,0,1,1,0,0,0,0
388,psicologia,1,0,0,1,1,0,0,1,0,0
389,ingenieria,1,0,1,0,1,1,0,1,0,0
390,administracion,1,1,0,0,0,1,1,0,1,0
391,administracion,1,1,1,1,0,1,0,1,0,0
392,finanzas,1,0,0,0,0,1,0,1,0,0
393,psicologia,1,1,0,0,0,1,1,0,1,0
394,ingenieria,1,1,0,1,0,1,0,1,0,0
395,diseno,1,0,1,0,0,0,1,0,1,0
396,sistemas,1,0,0,1,0,1,0,0,0,0
397,ingenieria,1,0,0,1,1,0,0,0,1,0
398,ingenieria,1,1,0,1,0,0,1,0,1,0
399,diseno,1,0,1,0,0,0,0,0,1,0
400,administracion,1,0,0,0,0,0,1,0,0,0
401,psicologia,1,1,0,0,0,0,0,0,0,0
402,psicologia,1,0,1,0,0,0,1,0,0,0
403,ingenieria,1,1,0,0,0,1,1,0,0,1
404,sistemas,1,0,1,1,1,0,0,0,1,1
405,marketing,1,0,1,0,0,0,0,0,0,0
406,sistemas,1,0,0,1,1,0,0,0,0,0
407,administracion,1,0,0,1,0,1,0,0,0,0
408,contabilidad,1,0,0,0,0,0,0,0,0,1
410,sistemas,1,0,0,1,1,0,0,1,0,0
412,ingenieria,1,1,1,1,0,0,1,0,0,0
413,contabilidad,1,0,0,0,1,0,1,0,0,0
414,finanzas,1,0,0,0,0,0,1,0,0,0
415,mantenimiento,1,1,1,1,0,1,0,1,0,0
416,psicologia,1,1,1,0,1,1,0,1,0,0
417,sistemas,1,0,0,1,0,0,0,0,0,0
418,ingenieria,1,0,0,1,0,1,0,1,0,0
419,sistemas,1,0,1,1,1,0,0,0,1,1
420,administracion,1,0,0,0,0,0,0,0,0,0
421,administracion,1,0,0,0,0,0,0,0,0,0
422,administracion,1,0,0,0,0,0,0,0,0,0
423,derecho,1,1,1,0,0,0,1,0,0,0
424,marketing,1,1,1,1,1,1,0,1,0,0
425,psicologia,1,0,1,1,1,1,0,1,0,1
426,psicologia,1,1,1,1,0,1,0,1,1,1
427,marketing,1,1,1,1,1,1,0,1,0,1
428,ingenieria,1,0,1,1,0,0,1,0,0,1
429,psicologia,1,0,1,0,1,0,0,1,0,0
430,contabilidad,1,0,0,0,0,0,1,0,0,0
431,finanzas,1,0,0,1,0,1,0,1,0,1
432,sistemas,1,0,1,1,1,0,0,1,0,0
435,ingenieria,1,0,0,0,0,0,1,0,0,0
436,ingenieria,1,0,0,1,0,1,0,1,0,0
437,ingenieria,1,0,1,0,1,1,0,1,0,0
438,ingenieria,1,0,0,1,0,0,0,1,1,1
439,contabilidad,1,0,0,1,1,0,0,1,0,0
440,contabilidad,1,0,0,1,0,1,1,0,0,0
441,administracion,1,0,0,1,0,1,0,1,0,1
442,contabilidad,1,1,0,0,0,0,0,1,0,0
444,contabilidad,1,0,0,0,0,0,0,0,0,0
445,psicologia,1,1,0,0,0,0,0,1,0,0
446,finanzas,1,1,0,0,0,0,1,1,0,0
447,ingenieria,1,0,0,1,0,1,0,1,0,0
448,administracion,1,1,0,0,0,0,0,1,0,0
449,ingenieria,1,0,1,1,1,0,1,0,0,0
450,marketing,1,0,0,0,1,0,0,0,1,0
451,ingenieria,1,0,0,1,0,1,0,1,1,0
452,ingenieria,1,0,0,1,0,1,0,1,1,0
453,ingenieria,1,0,0,1,0,1,0,1,1,0
454,marketing,1,1,0,0,0,0,0,0,1,1
455,marketing,1,1,0,0,0,0,0,0,1,1
458,comunicaciones,1,1,1,0,0,0,1,1,1,0
459,ingenieria,1,1,0,0,0,0,0,1,0,0
460,comunicaciones,1,0,1,0,0,0,0,1,0,0
461,psicologia,1,1,1,0,0,0,1,1,0,0
462,sistemas,1,1,0,1,0,0,0,0,1,0
465,psicologia,1,1,0,0,0,1,1,1,0,0
466,finanzas,1,1,1,0,0,0,0,1,0,1
467,ingenieria,1,0,0,1,0,0,0,1,0,1
468,mantenimiento,1,0,1,0,1,1,0,1,0,1
470,derecho,1,0,0,0,1,0,0,0,0,0
471,contabilidad,1,1,0,1,0,0,0,1,0,1
475,ingenieria,1,0,0,1,0,1,0,1,0,0
476,comunicaciones,1,0,0,0,0,0,0,0,1,0
477,comunicaciones,1,0,0,0,0,0,1,1,1,0
479,contabilidad,1,0,1,0,0,0,0,1,0,0
480,finanzas,1,0,0,0,0,0,0,1,0,0
481,administracion,1,0,0,0,0,0,0,0,0,0
482,ingenieria,1,0,0,1,0,1,0,1,0,1
483,mantenimiento,1,0,1,0,1,0,0,0,0,0
484,administracion,1,0,1,1,0,1,1,0,0,0
485,ingenieria,1,0,0,1,0,1,0,1,0,0
486,ingenieria,1,1,0,1,1,1,1,0,0,0
487,psicologia,1,1,1,0,0,0,0,1,0,0
488,sistemas,1,0,0,1,1,1,0,0,0,0
489,finanzas,1,0,1,0,0,0,1,0,0,1
490,finanzas,1,0,0,0,0,0,0,1,0,0
491,derecho,1,0,0,0,1,1,1,0,0,0
492,ingenieria,1,0,0,0,0,1,0,1,0,0
493,psicologia,1,0,0,0,0,1,0,0,0,0
494,marketing,1,0,0,1,0,1,0,1,0,0
495,marketing,1,0,0,0,0,0,0,1,1,1
